City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,nuku'alofa,-21.1333,-175.2,293.34,94,100,3.6,TO,1691299326
265,pasni,25.2631,63.471,300.79,79,93,6.16,PK,1691299326
266,vingt cinq,25.2631,63.471,300.79,79,93,6.16,PK,1691299326
267,port mathurin,-19.6833,63.4167,295.6,64,56,12.48,MU,1691299327
268,emmer-compascuum,52.8117,7.0472,287.51,91,74,2.61,NL,1691299327
269,okeho,8.0333,3.35,294.11,96,100,2.46,NG,1691299327
270,guaraniacu,-25.1008,-52.8781,285.93,75,0,1.05,BR,1691299327
271,kone,-21.0595,164.8658,294.87,66,37,4.93,NC,1691299328
272,kourou,5.1552,-52.6478,299.18,93,34,3.72,GF,1691299328
273,sweetwater,25.7634,-80.3731,302.16,88,0,0.0,US,1691299328
274,iskateley,67.6803,53.1512,294.3,67,87,4.3,RU,1691299328
275,isafjordur,66.0755,-23.124,282.75,79,93,2.33,IS,1691299329
276,zeya,53.75,127.2667,301.51,24,1,2.05,RU,1691299329
277,ust-nera,64.5667,143.2,286.39,75,99,4.44,RU,1691299329
278,mavoor,11.2667,75.9167,300.45,78,75,2.57,IN,1691299329
279,kafue,-15.7691,28.1814,285.23,87,0,2.62,ZM,1691299329
280,fonte boa,-2.4959,-66.2662,296.64,85,29,1.28,BR,1691299330
281,vinh,18.6667,105.6667,299.3,81,100,3.1,VN,1691299067
282,atar,20.5169,-13.0499,302.91,19,13,3.69,MR,1691299330
283,uliastay,47.7417,96.8444,294.97,37,60,3.78,MN,1691299277
284,coquimbo,-29.9533,-71.3436,287.0,94,100,0.51,CL,1691299070
285,garanhuns,-8.8903,-36.4928,290.58,92,100,2.95,BR,1691299331
286,zhuanghe,39.7008,122.9911,298.73,65,11,4.74,CN,1691299331
287,kristiansund,63.1115,7.732,285.51,76,100,4.63,NO,1691299331
288,carboneras,37.0015,-1.9213,296.66,62,0,2.58,ES,1691299331
289,murray bridge,-35.1167,139.2667,286.67,53,93,2.86,AU,1691299331
290,tangalle,6.024,80.7911,303.53,64,64,7.72,LK,1691299332
291,freetown,8.484,-13.2299,296.99,94,75,5.14,SL,1691299332
292,srikakulam,18.3,83.9,305.81,60,66,4.06,IN,1691299332
293,san juan,-31.5375,-68.5364,287.85,41,0,0.64,AR,1691299215
294,gardnerville ranchos,38.8882,-119.7413,297.09,37,0,4.12,US,1691299332
295,guangming,45.3333,122.7833,295.88,58,100,6.4,CN,1691299201
296,castillos,-34.1667,-53.8333,285.86,78,89,3.13,UY,1691299333
297,alto araguaia,-17.3147,-53.2153,291.96,36,0,1.88,BR,1691299333
298,haradok,55.4624,29.9816,297.21,77,0,3.85,BY,1691299333
299,camacupa,-12.0167,17.4833,282.84,49,0,2.26,AO,1691299334
300,kosti,13.1629,32.6635,297.48,68,100,3.38,SD,1691299334
301,puerto san carlos,13.1629,32.6635,297.48,68,100,3.38,SD,1691299334
302,katsuura,35.1333,140.3,300.89,82,8,6.03,JP,1691299334
303,amga,60.8953,131.9608,301.19,29,39,2.38,RU,1691299335
304,nelson,-41.2833,173.2833,285.53,82,40,1.25,NZ,1691299335
305,boli,45.7667,130.5167,295.92,53,67,4.79,CN,1691299335
306,lakatoro,-16.0999,167.4164,297.93,75,69,5.76,VU,1691299335
307,zapolyarnyy,69.4154,30.8136,285.75,78,100,1.16,RU,1691299335
308,baykal'sk,51.5058,104.1469,289.45,82,100,1.58,RU,1691299336
309,howrah,22.5892,88.3103,301.15,94,100,3.09,IN,1691299312
310,buxton,53.2574,-1.9098,283.39,96,47,0.89,GB,1691299336
311,hami,42.8,93.45,309.27,11,10,1.15,CN,1691299336
312,sitka,57.0531,-135.33,292.09,77,100,3.6,US,1691299337
313,kapit,2.0167,112.9333,305.46,61,61,1.0,MY,1691299337
314,mahina,-17.5065,-149.489,299.02,69,75,1.54,PF,1691299337
315,dodge city,37.7528,-100.0171,297.18,80,20,5.14,US,1691299337
316,remire-montjoly,4.9167,-52.2667,299.17,89,0,1.03,GF,1691299337
317,baoshan,46.5586,131.4244,294.34,63,5,6.1,CN,1691299338
318,dalhart,36.0595,-102.5133,297.16,60,0,6.69,US,1691299338
319,tucuma,-0.1833,-50.05,297.98,90,4,2.61,BR,1691299338
320,bakhmach,51.1808,32.7569,297.9,54,0,5.47,UA,1691299338
321,thunder bay,48.4001,-89.3168,287.14,88,40,1.03,CA,1691299039
322,constantia,44.1833,28.65,298.54,83,0,3.72,RO,1691299194
323,ariquemes,-9.9133,-63.0408,297.36,47,3,0.94,BR,1691299339
324,ryotsu-minato,38.0833,138.4333,304.42,65,29,3.65,JP,1691299339
325,totskoye,52.5248,52.7623,301.31,49,38,4.82,RU,1691299339
326,kaa-khem,51.6833,94.7333,294.23,65,94,1.87,RU,1691299339
327,jaru,-10.4389,-62.4664,297.32,46,2,1.1,BR,1691299340
328,shakiso,5.75,38.9167,287.84,92,100,1.72,ET,1691299340
329,ocos,14.5094,-92.1933,299.25,79,83,1.91,GT,1691299340
330,maragogi,-9.0122,-35.2225,296.15,88,43,3.71,BR,1691299340
331,gorontalo,0.5412,123.0595,304.59,57,96,4.74,ID,1691299341
332,inekar,0.5412,123.0595,304.59,57,96,4.74,ID,1691299341
333,udachny,66.4167,112.4,292.29,45,3,6.48,RU,1691299341
334,saint-flour,45.0833,3.0,280.86,79,82,3.15,FR,1691299341
